[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,65,11,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,239]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [117,51,173,123,92,13,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,65,11,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,239,117,51,173,123,92,13,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,149,16,0,0,65]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,65,11,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,239,117,51,173,123,92,13,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,149,16,0,0,65]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 118 - 3 - 1 - 28 - [0,116,25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,65,11,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,239,117,51,173,123,92,13,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,149,16,0,0] - 65
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":116,"value":{"type":"Buffer","data":[25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,65,11,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,239,117,51,173,123,92,13,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,149,16,0,0]}}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":98}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,98,0,82]
